,y'=0,y'=1,Recall
y:label=0,1101,24,0.9786
y:label=1,19,1056,0.9823
Precision,0.9830,0.9777,
F-Measures,0.9807,0.9799,
,,,
Accuracy,0.9804,,
Avg.Precision,0.9804,,
Avg.Recall,0.9804,,
Avg.F-Measures,0.9803,,
